Frequency,TMP116,Ambient Temp.,Actual △freq (ppb)
10000000.02942000,10970.00000000,79.06000000,-0.11900011
10000000.02933000,10970.00000000,78.44000000,-0.12800004
10000000.02916000,10969.00000000,77.06000000,-0.14500003
10000000.02986000,10965.00000000,75.31000000,-0.07500015
10000000.02961000,10962.00000000,73.44000000,-0.10000002
10000000.02998000,10958.00000000,71.44000000,-0.06300006
10000000.03028000,10953.00000000,69.38000000,-0.03300011
10000000.02984000,10948.00000000,67.19000000,-0.07700007
10000000.02971000,10943.00000000,64.94000000,-0.09000003
10000000.03017000,10939.00000000,62.75000000,-0.04400015
10000000.03011000,10934.00000000,60.69000000,-0.05000010
10000000.03035000,10928.00000000,58.38000000,-0.02600010
10000000.03042000,10923.00000000,56.00000000,-0.01900010
10000000.03041000,10918.00000000,53.69000000,-0.02000015
10000000.03037000,10913.00000000,51.38000000,-0.02400000
10000000.03030000,10908.00000000,49.13000000,-0.03100000
10000000.03048000,10902.00000000,46.88000000,-0.01300015
10000000.03023000,10898.00000000,44.56000000,-0.03800001
10000000.03032000,10893.00000000,42.25000000,-0.02900008
10000000.03056000,10887.00000000,40.00000000,-0.00500008
10000000.03047000,10882.00000000,37.75000000,-0.01400001
10000000.03066000,10877.00000000,35.31000000,0.00499990
10000000.03064000,10872.00000000,33.00000000,0.00299998
10000000.03078000,10867.00000000,30.75000000,0.01699999
10000000.03090000,10862.00000000,28.38000000,0.02899989
10000000.03005000,10857.00000000,26.25000000,-0.05600005
10000000.03061000,10851.00000000,23.88000000,0.00000000
10000000.03071000,10847.00000000,21.75000000,0.00999998
10000000.03038000,10842.00000000,19.50000000,-0.02300013
10000000.03029000,10837.00000000,17.38000000,-0.03200006
10000000.03037000,10832.00000000,15.25000000,-0.02400000
10000000.03019000,10827.00000000,13.06000000,-0.04200004
10000000.03049000,10823.00000000,10.88000000,-0.01200009
10000000.03056000,10817.00000000,8.50000000,-0.00500008
10000000.03032000,10813.00000000,6.06000000,-0.02900008
10000000.03073000,10807.00000000,3.75000000,0.01199991
10000000.03036000,10802.00000000,1.50000000,-0.02500005
10000000.03074000,10797.00000000,-0.81000000,0.01299996
10000000.03018000,10792.00000000,-3.25000000,-0.04300009
10000000.03025000,10787.00000000,-5.00000000,-0.03600009
10000000.02992000,10784.00000000,-5.63000000,-0.06900001
10000000.02997000,10782.00000000,-5.88000000,-0.06400011
10000000.02966000,10780.00000000,-6.06000000,-0.09500012
10000000.02967000,10781.00000000,-5.94000000,-0.07199999
10000000.02991000,10782.00000000,-4.50000000,-0.04799999
10000000.02954000,10785.00000000,-2.56000000,-0.08499995
10000000.02991000,10789.00000000,-0.31000000,-0.04799999
10000000.03025000,10794.00000000,1.69000000,-0.01400001
10000000.02985000,10799.00000000,3.81000000,-0.05399995
10000000.03011000,10802.00000000,5.50000000,-0.02800003
10000000.02998000,10807.00000000,7.88000000,-0.04099999
10000000.03004000,10812.00000000,10.19000000,-0.03500003
10000000.02920000,10817.00000000,12.44000000,-0.11899993
10000000.03009000,10822.00000000,14.69000000,-0.02999995
10000000.02992000,10827.00000000,16.94000000,-0.04699994
10000000.03032000,10832.00000000,19.19000000,-0.00700001
10000000.03006000,10837.00000000,21.44000000,-0.03299993
10000000.03017000,10842.00000000,23.69000000,-0.02200007
10000000.03039000,10846.00000000,25.88000000,0.00000000
10000000.03041000,10851.00000000,28.13000000,0.00199992
10000000.03029000,10857.00000000,30.25000000,-0.00999998
10000000.03022000,10862.00000000,32.50000000,-0.01699999
10000000.03033000,10866.00000000,34.69000000,-0.00599995
10000000.02990000,10871.00000000,36.94000000,-0.04900005
10000000.02996000,10876.00000000,39.25000000,-0.04299991
10000000.02966000,10881.00000000,41.56000000,-0.07300004
10000000.03005000,10887.00000000,43.94000000,-0.03399998
10000000.02960000,10892.00000000,46.25000000,-0.07900000
10000000.02953000,10897.00000000,48.44000000,-0.08600000
10000000.02974000,10903.00000000,50.75000000,-0.06499998
10000000.03032000,10908.00000000,52.94000000,-0.00700001
10000000.02982000,10913.00000000,55.25000000,-0.05699992
10000000.02978000,10917.00000000,57.38000000,-0.06099995
10000000.02954000,10922.00000000,59.69000000,-0.08499995
10000000.02951000,10927.00000000,61.88000000,-0.08799993
10000000.02962000,10933.00000000,64.06000000,-0.07700007
10000000.02929000,10937.00000000,66.13000000,-0.11000000
10000000.02933000,10942.00000000,68.25000000,-0.10599997
10000000.02886000,10946.00000000,70.31000000,-0.15299991
10000000.02909000,10951.00000000,72.44000000,-0.12999997
10000000.02910000,10956.00000000,74.44000000,-0.12899991
10000000.02931000,10960.00000000,76.63000000,-0.10800008
10000000.02875000,10965.00000000,77.75000000,-0.16399994
10000000.02878000,10967.00000000,78.38000000,-0.16099997
10000000.02893000,10968.00000000,78.94000000,-0.14600009
10000000.02856000,10972.00000000,80.00000000,-0.18300004
10000000.02870000,10972.00000000,79.50000000,-0.13600010
10000000.02902000,10971.00000000,78.75000000,-0.10400005
10000000.02883000,10969.00000000,77.88000000,-0.12300014
10000000.02888000,10967.00000000,76.88000000,-0.11800006
10000000.02917000,10965.00000000,75.88000000,-0.08899998
10000000.02915000,10963.00000000,74.94000000,-0.09100009
10000000.02956000,10961.00000000,73.81000000,-0.05000010
10000000.02906000,10958.00000000,72.69000000,-0.10000002
10000000.02924000,10956.00000000,71.56000000,-0.08200016
10000000.02935000,10953.00000000,70.44000000,-0.07100012
10000000.02894000,10950.00000000,69.31000000,-0.11200011
10000000.02936000,10949.00000000,68.19000000,-0.07000007
10000000.02957000,10946.00000000,67.06000000,-0.04900005
10000000.02947000,10943.00000000,66.00000000,-0.05900003
10000000.02937000,10941.00000000,64.75000000,-0.06900001
10000000.02957000,10938.00000000,63.69000000,-0.04900005
10000000.02938000,10936.00000000,62.56000000,-0.06800015
10000000.02959000,10933.00000000,61.38000000,-0.04700013
10000000.02976000,10931.00000000,60.25000000,-0.03000014
10000000.02944000,10928.00000000,59.19000000,-0.06200001
10000000.02978000,10925.00000000,58.00000000,-0.02800003
10000000.02977000,10922.00000000,56.88000000,-0.02900008
10000000.02986000,10920.00000000,55.75000000,-0.02000015
10000000.02949000,10918.00000000,54.56000000,-0.05700011
10000000.02996000,10916.00000000,53.31000000,-0.00999998
10000000.02941000,10912.00000000,52.13000000,-0.06499998
10000000.02987000,10910.00000000,50.94000000,-0.01900010
10000000.02977000,10908.00000000,49.81000000,-0.02900008
10000000.02956000,10905.00000000,48.75000000,-0.05000010
10000000.02947000,10902.00000000,47.56000000,-0.05900003
10000000.02950000,10899.00000000,46.44000000,-0.05600005
10000000.02988000,10897.00000000,45.38000000,-0.01800004
10000000.02950000,10894.00000000,44.13000000,-0.05600005
