Frequency,TMP116,Ambient Temp.
10000000.28535,10886.0,79.13
10000000.28588,10886.0,78.38
10000000.28575,10884.0,76.94
10000000.28598,10881.0,75.25
10000000.28596,10877.0,73.31
10000000.28617,10872.0,71.31
10000000.28631,10868.0,69.25
10000000.28642,10862.0,67.06
10000000.28631,10857.0,64.88
10000000.28665,10852.0,62.63
10000000.2865,10846.0,60.56
10000000.28678,10841.0,58.19
10000000.28676,10835.0,55.94
10000000.2867,10829.0,53.56
10000000.28677,10824.0,51.19
10000000.28667,10817.0,49.0
10000000.28714,10813.0,46.75
10000000.28686,10807.0,44.38
10000000.28719,10801.0,42.06
10000000.28698,10795.0,39.94
10000000.28716,10789.0,37.56
10000000.28679,10784.0,35.19
10000000.28677,10777.0,32.81
10000000.28702,10773.0,30.56
10000000.28672,10766.0,28.25
10000000.28714,10761.0,26.06
10000000.28685,10755.0,23.75
10000000.28701,10749.0,21.56
10000000.28683,10744.0,19.31
10000000.287,10739.0,17.19
10000000.28688,10734.0,15.06
10000000.28666,10728.0,12.94
10000000.28709,10723.0,10.75
10000000.28647,10717.0,8.38
10000000.28675,10712.0,5.94
10000000.28679,10706.0,3.69
10000000.28645,10700.0,1.38
10000000.2866,10694.0,-0.88
10000000.28629,10689.0,-3.38
10000000.286,10683.0,-5.06
10000000.28618,10680.0,-5.69
10000000.28605,10679.0,-5.88
10000000.28583,10677.0,-6.06
10000000.28591,10676.0,-5.81
10000000.28613,10678.0,-4.38
10000000.28582,10681.0,-2.38
10000000.28592,10686.0,-0.19
10000000.2862,10691.0,1.81
10000000.28615,10696.0,3.81
10000000.28616,10701.0,5.69
10000000.28641,10705.0,8.0
10000000.2866,10711.0,10.31
10000000.28638,10717.0,12.56
10000000.28653,10722.0,14.81
10000000.28671,10728.0,17.13
10000000.28646,10734.0,19.38
10000000.2863,10739.0,21.56
10000000.28648,10744.0,23.81
10000000.2863,10750.0,26.06
10000000.28638,10756.0,28.25
10000000.28652,10762.0,30.38
10000000.28641,10766.0,32.56
10000000.2865,10772.0,34.81
10000000.2865,10778.0,37.13
10000000.28652,10783.0,39.38
10000000.28669,10789.0,41.75
10000000.28631,10795.0,44.13
10000000.2862,10801.0,46.38
10000000.28648,10806.0,48.63
10000000.28612,10812.0,50.88
10000000.28592,10818.0,53.06
10000000.28614,10824.0,55.38
10000000.28605,10829.0,57.56
10000000.28567,10835.0,59.81
10000000.28584,10840.0,62.0
10000000.28577,10846.0,64.13
10000000.28553,10851.0,66.25
10000000.28572,10856.0,68.38
10000000.28551,10861.0,70.44
10000000.28527,10867.0,72.56
10000000.2854,10872.0,74.56
10000000.28494,10876.0,76.75
10000000.28525,10880.0,77.75
10000000.28507,10883.0,78.44
10000000.28499,10886.0,78.94
10000000.28503,10889.0,79.94
10000000.2852,10888.0,79.44
10000000.28519,10888.0,78.69
10000000.28511,10886.0,77.81
10000000.28538,10883.0,76.81
10000000.2855,10881.0,75.81
10000000.28548,10879.0,74.88
10000000.28571,10876.0,73.75
10000000.28555,10874.0,72.63
10000000.28551,10870.0,71.44
10000000.28591,10868.0,70.38
10000000.286,10866.0,69.25
10000000.28578,10862.0,68.13
10000000.28575,10859.0,67.0
10000000.28608,10857.0,65.81
10000000.28591,10854.0,64.75
10000000.28596,10852.0,63.63
10000000.28623,10848.0,62.5
10000000.28569,10846.0,61.31
10000000.28595,10843.0,60.19
10000000.28609,10840.0,59.13
10000000.28634,10837.0,57.94
10000000.28602,10835.0,56.75
10000000.28593,10831.0,55.69
10000000.28638,10828.0,54.5
10000000.28619,10826.0,53.25
10000000.28603,10823.0,52.06
10000000.28638,10820.0,50.94
10000000.28618,10817.0,49.75
10000000.28625,10814.0,48.69
10000000.28637,10811.0,47.5
10000000.28648,10808.0,46.38
10000000.28631,10806.0,45.25
10000000.28641,10802.0,44.06
10000000.28622,10800.0,42.94
10000000.28644,10797.0,41.75
10000000.28654,10794.0,40.63
10000000.2865,10792.0,39.38
10000000.28635,10788.0,38.31
10000000.28655,10786.0,37.19
10000000.28648,10783.0,36.06
10000000.28634,10781.0,34.88
10000000.28647,10778.0,33.69
10000000.28642,10775.0,32.56
10000000.28637,10772.0,31.5
10000000.2864,10769.0,30.25
10000000.28612,10766.0,29.06
10000000.28627,10762.0,28.0
10000000.2862,10759.0,26.81
10000000.28643,10757.0,25.69
10000000.28617,10754.0,24.5
10000000.28629,10752.0,23.56
10000000.2863,10749.0,22.63
10000000.28635,10746.0,21.5
10000000.28621,10743.0,20.38
10000000.2863,10742.0,19.19
10000000.28631,10738.0,18.13
10000000.28632,10736.0,17.0
10000000.28641,10732.0,15.75
10000000.28609,10729.0,14.56
10000000.28603,10727.0,13.5
10000000.28627,10725.0,12.38
10000000.28629,10722.0,11.31
10000000.28619,10719.0,10.19
10000000.28605,10716.0,9.06
10000000.28609,10713.0,7.94
10000000.28625,10711.0,6.81
10000000.28596,10708.0,5.69
10000000.28602,10705.0,4.44
10000000.28614,10702.0,3.19
10000000.28575,10699.0,2.19
10000000.28578,10696.0,0.94
10000000.28601,10694.0,-0.19
10000000.28587,10691.0,-1.44
10000000.28561,10688.0,-2.69
10000000.28557,10685.0,-4.0
10000000.28562,10682.0,-5.06
10000000.28579,10680.0,-5.94
10000000.28524,10677.0,-5.69
10000000.28552,10678.0,-4.75
10000000.28534,10680.0,-3.75
10000000.28539,10683.0,-2.44
10000000.2855,10686.0,-1.25
10000000.28564,10689.0,-0.13
10000000.28552,10691.0,1.06
10000000.28569,10694.0,2.19
10000000.28555,10696.0,3.44
10000000.28596,10700.0,4.44
10000000.28583,10702.0,5.06
10000000.28582,10704.0,6.25
10000000.28578,10706.0,7.5
10000000.28596,10710.0,8.69
10000000.28589,10713.0,9.75
10000000.28583,10715.0,10.88
10000000.28604,10718.0,12.0
10000000.28582,10721.0,13.13
10000000.28598,10723.0,14.25
10000000.28608,10727.0,15.38
10000000.28611,10729.0,16.5
10000000.28602,10732.0,17.69
10000000.28592,10735.0,18.81
10000000.28597,10738.0,19.94
10000000.28596,10740.0,21.06
10000000.28579,10744.0,22.19
10000000.28612,10746.0,23.25
10000000.28598,10748.0,24.44
10000000.28595,10751.0,25.69
10000000.28603,10754.0,26.69
10000000.28586,10757.0,27.75
10000000.28575,10760.0,28.88
10000000.28604,10763.0,30.0
10000000.28589,10765.0,31.0
10000000.28594,10768.0,32.06
10000000.2861,10770.0,33.25
10000000.28591,10773.0,34.38
10000000.28589,10776.0,35.56
10000000.2862,10779.0,36.75
10000000.28606,10782.0,37.94
10000000.28591,10786.0,39.13
10000000.28625,10788.0,40.44
10000000.28591,10791.0,41.56
10000000.28593,10795.0,42.63
10000000.28605,10797.0,43.94
10000000.28578,10800.0,45.06
10000000.28579,10802.0,46.13
10000000.2858,10806.0,47.38
10000000.28576,10809.0,48.5
10000000.2856,10811.0,49.63
10000000.28577,10815.0,50.88
10000000.28561,10817.0,52.0
10000000.28542,10820.0,53.13
10000000.28567,10823.0,54.19
10000000.28555,10826.0,55.38
10000000.28531,10828.0,56.5
10000000.28526,10832.0,57.63
10000000.28562,10835.0,58.69
10000000.28541,10837.0,59.81
10000000.28525,10839.0,60.81
10000000.28536,10843.0,61.88
10000000.28551,10844.0,62.81
10000000.28526,10847.0,63.94
10000000.28509,10850.0,65.06
10000000.2853,10852.0,66.19
10000000.28494,10856.0,67.25
10000000.28491,10858.0,68.31
10000000.28518,10861.0,69.44
10000000.28482,10863.0,70.56
10000000.28469,10866.0,71.56
10000000.28483,10868.0,72.63
10000000.28477,10871.0,73.63
10000000.2845,10874.0,74.69
10000000.28438,10876.0,75.81
10000000.28458,10879.0,76.81
10000000.28437,10882.0,78.0
10000000.28426,10884.0,78.69
10000000.28462,10886.0,79.06
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
