Frequency,TMP116,Ambient Temp.,Actual dfreq (ppb)
10000003.04283400,10877.00000000,79.13000000,-0.21700002
10000003.04310400,10876.00000000,78.19000000,-0.19000005
10000003.04303700,10874.00000000,76.75000000,-0.19670017
10000003.04300000,10870.00000000,75.00000000,-0.20040013
10000003.04340400,10866.00000000,73.06000000,-0.16000010
10000003.04351000,10863.00000000,71.06000000,-0.14940016
10000003.04354600,10858.00000000,68.94000000,-0.14580004
10000003.04372600,10853.00000000,66.81000000,-0.12780018
10000003.04402100,10848.00000000,64.56000000,-0.09830017
10000003.04406200,10843.00000000,62.38000000,-0.09420011
10000003.04429200,10839.00000000,60.25000000,-0.07120017
10000003.04434100,10833.00000000,57.88000000,-0.06630011
10000003.04434300,10828.00000000,55.69000000,-0.06610006
10000003.04431800,10822.00000000,53.31000000,-0.06860010
10000003.04446700,10817.00000000,51.00000000,-0.05370006
10000003.04468900,10811.00000000,48.69000000,-0.03150012
10000003.04457000,10807.00000000,46.38000000,-0.04340000
10000003.04482700,10801.00000000,44.13000000,-0.01770016
10000003.04481000,10796.00000000,41.81000000,-0.01940001
10000003.04481800,10791.00000000,39.63000000,-0.01860000
10000003.04496900,10786.00000000,37.38000000,-0.00350010
10000003.04506800,10780.00000000,34.88000000,0.00639986
10000003.04501000,10774.00000000,32.56000000,0.00059996
10000003.04520100,10768.00000000,30.25000000,0.01969989
10000003.04508000,10764.00000000,28.00000000,0.00759996
10000003.04497800,10758.00000000,25.75000000,-0.00260007
10000003.04500400,10752.00000000,23.44000000,0.00000000
10000003.04515600,10748.00000000,21.31000000,0.01519993
10000003.04513800,10743.00000000,19.06000000,0.01339987
10000003.04517700,10738.00000000,16.88000000,0.01729988
10000003.04510300,10733.00000000,14.81000000,0.00989996
10000003.04482500,10728.00000000,12.63000000,-0.01790002
10000003.04474700,10723.00000000,10.50000000,-0.02570003
10000003.04460100,10718.00000000,8.06000000,-0.04030000
10000003.04480000,10713.00000000,5.63000000,-0.02040006
10000003.04458400,10708.00000000,3.38000000,-0.04200004
10000003.04454300,10702.00000000,1.06000000,-0.04610009
10000003.04419800,10697.00000000,-1.25000000,-0.08060001
10000003.04427300,10691.00000000,-3.69000000,-0.07310007
10000003.04415600,10686.00000000,-5.19000000,-0.08480009
10000003.04367900,10683.00000000,-5.69000000,-0.13250001
10000003.04385500,10683.00000000,-5.94000000,-0.11490006
10000003.04374700,10682.00000000,-6.06000000,-0.12570005
10000003.04348200,10681.00000000,-5.69000000,-0.11810008
10000003.04357500,10683.00000000,-4.13000000,-0.10880008
10000003.04350300,10686.00000000,-2.13000000,-0.11600014
10000003.04356500,10692.00000000,0.06000000,-0.10980014
10000003.04371100,10697.00000000,2.13000000,-0.09520017
10000003.04416200,10702.00000000,3.88000000,-0.05010013
10000003.04395200,10705.00000000,5.94000000,-0.07110015
10000003.04402500,10711.00000000,8.31000000,-0.06380007
10000003.04408000,10715.00000000,10.63000000,-0.05830005
10000003.04426800,10721.00000000,12.88000000,-0.03950000
10000003.04436000,10726.00000000,15.13000000,-0.03030002
10000003.04414800,10731.00000000,17.44000000,-0.05150009
10000003.04452000,10737.00000000,19.63000000,-0.01430009
10000003.04475100,10742.00000000,21.88000000,0.00879988
10000003.04476700,10747.00000000,24.00000000,0.01039989
10000003.04466300,10752.00000000,26.31000000,0.00000000
10000003.04461600,10757.00000000,28.50000000,-0.00470001
10000003.04454000,10762.00000000,30.75000000,-0.01230016
10000003.04452100,10767.00000000,32.88000000,-0.01420006
10000003.04463700,10773.00000000,35.13000000,-0.00260007
10000003.04462900,10778.00000000,37.38000000,-0.00340007
10000003.04475300,10783.00000000,39.69000000,0.00899993
10000003.04437300,10788.00000000,42.06000000,-0.02900008
