Ambient Temp.,TMP116,Frequency,Actual dfreq (ppb)
80.13,10913,9999999.034,-0.9544
79.44,10912,9999999.034,-0.95260013
78.75,10911,9999999.034,-0.9149
77.75,10909,9999999.035,-0.88860001
76.81,10907,9999999.035,-0.87950006
75.88,10904,9999999.035,-0.87780003
74.88,10902,9999999.035,-0.85690003
73.81,10900,9999999.035,-0.81950016
72.75,10898,9999999.036,-0.80130007
71.63,10896,9999999.036,-0.77860001
70.5,10893,9999999.036,-0.74020009
69.38,10890,9999999.036,-0.71360003
68.25,10887,9999999.037,-0.69890004
67.06,10884,9999999.037,-0.6794
65.94,10882,9999999.037,-0.66760015
64.75,10879,9999999.037,-0.63530002
63.63,10876,9999999.038,-0.59890002
62.5,10874,9999999.038,-0.58800001
61.38,10871,9999999.038,-0.57820007
60.25,10869,9999999.038,-0.56460015
59.13,10866,9999999.038,-0.53970013
57.94,10863,9999999.038,-0.52230004
56.69,10860,9999999.039,-0.49390011
55.56,10857,9999999.039,-0.46650004
54.56,10855,9999999.039,-0.44500008
53.5,10852,9999999.039,-0.44310018
52.25,10850,9999999.039,-0.4102001
51,10847,9999999.04,-0.39010011
49.81,10843,9999999.04,-0.37760008
48.69,10841,9999999.04,-0.34560002
47.5,10839,9999999.04,-0.337
46.38,10836,9999999.04,-0.31720009
45.25,10833,9999999.041,-0.28650016
44.06,10831,9999999.041,-0.27860012
42.75,10828,9999999.041,-0.25420003
41.75,10824,9999999.041,-0.25920011
40.69,10822,9999999.041,-0.23830011
39.38,10819,9999999.041,-0.21860003
38.19,10817,9999999.042,-0.19480009
37.06,10814,9999999.042,-0.18350016
36,10812,9999999.042,-0.16970001
34.94,10809,9999999.042,-0.14160015
33.69,10806,9999999.042,-0.13140012
32.5,10803,9999999.042,-0.11860002
31.25,10800,9999999.043,-0.09090006
30.19,10798,9999999.043,-0.06910004
29,10795,9999999.043,-0.0643
27.88,10793,9999999.043,-0.04510004
26.75,10790,9999999.043,-0.03560018
25.63,10787,9999999.044,-0.00650007
24.69,10785,9999999.044,0
23.75,10782,9999999.044,-0.0004001
22.38,10780,9999999.044,0.02219994
21.13,10777,9999999.044,0.03059991
19.94,10774,9999999.044,0.0537999
18.81,10771,9999999.044,0.06329995
17.81,10768,9999999.044,0.06729998
16.56,10767,9999999.044,0.07729996
15.69,10763,9999999.044,0.09109993
14.63,10761,9999999.045,0.10189991
13.38,10760,9999999.045,0.10939986
12.06,10756,9999999.045,0.13069995
11.13,10754,9999999.045,0.12759995
10,10751,9999999.045,0.15109982
8.88,10748,9999999.045,0.16309991
7.75,10746,9999999.045,0.16919989
