Ambient Temp.,TMP116,Frequency
80.0,10737.0,9999999.41724
79.88,10738.0,9999999.41728
79.25,10736.0,9999999.4175
78.44,10734.0,9999999.41767
77.44,10732.0,9999999.41792
76.56,10730.0,9999999.41808
75.56,10727.0,9999999.41834
74.5,10725.0,9999999.41854
73.44,10723.0,9999999.41863
72.38,10720.0,9999999.41902
71.31,10717.0,9999999.41931
70.13,10715.0,9999999.4196
69.0,10712.0,9999999.41991
67.88,10709.0,9999999.42009
66.75,10707.0,9999999.42017
65.56,10703.0,9999999.4203
64.44,10701.0,9999999.42037
63.31,10698.0,9999999.42091
62.19,10695.0,9999999.421
61.0,10693.0,9999999.42117
59.94,10690.0,9999999.42136
58.81,10688.0,9999999.42175
57.56,10684.0,9999999.42175
56.25,10682.0,9999999.4222
55.31,10679.0,9999999.42243
54.31,10677.0,9999999.42243
53.13,10674.0,9999999.42286
51.88,10671.0,9999999.4229
50.63,10668.0,9999999.42301
49.5,10665.0,9999999.42336
48.31,10663.0,9999999.42345
47.13,10659.0,9999999.42355
46.06,10657.0,9999999.42397
44.81,10654.0,9999999.42415
43.69,10652.0,9999999.42455
42.56,10648.0,9999999.42456
41.44,10646.0,9999999.42466
40.19,10643.0,9999999.42507
39.0,10641.0,9999999.42528
37.88,10637.0,9999999.42538
36.75,10635.0,9999999.42574
35.56,10632.0,9999999.42575
34.5,10630.0,9999999.42602
33.25,10627.0,9999999.42597
32.13,10624.0,9999999.42604
30.94,10622.0,9999999.42614
29.75,10618.0,9999999.42646
28.63,10616.0,9999999.4267
27.5,10614.0,9999999.42687
26.44,10611.0,9999999.42732
25.38,10608.0,9999999.4272
24.38,10605.0,9999999.42726
23.31,10603.0,9999999.42764
21.94,10600.0,9999999.42771
20.81,10598.0,9999999.4279
19.69,10595.0,9999999.42828
18.5,10592.0,9999999.42836
17.44,10589.0,9999999.42851
16.19,10586.0,9999999.42864
15.44,10584.0,9999999.42863
14.38,10582.0,9999999.42898
13.0,10579.0,9999999.42873
11.81,10576.0,9999999.42931
10.75,10574.0,9999999.42922
9.69,10572.0,9999999.42954
8.63,10568.0,9999999.42946
7.44,10565.0,9999999.42954
6.19,10563.0,9999999.43001
5.13,10560.0,9999999.4298
3.94,10557.0,9999999.4302
2.63,10555.0,9999999.43012
1.44,10552.0,9999999.43008
0.31,10549.0,9999999.43032
-0.88,10546.0,9999999.43044
-1.88,10544.0,9999999.43059
-3.13,10541.0,9999999.43095
-4.38,10537.0,9999999.43084
-5.56,10535.0,9999999.43104
-6.06,10532.0,9999999.43126
-5.13,10534.0,9999999.43121
-4.06,10535.0,9999999.43102
-3.06,10537.0,9999999.43076
-2.0,10540.0,9999999.43068
-0.81,10543.0,9999999.43067
0.44,10545.0,9999999.43061
1.75,10549.0,9999999.43049
2.81,10552.0,9999999.43017
4.06,10554.0,9999999.4303
4.88,10557.0,9999999.43025
5.69,10559.0,9999999.43039
7.0,10561.0,9999999.43007
8.13,10563.0,9999999.42981
9.25,10567.0,9999999.42976
10.38,10569.0,9999999.42989
11.5,10572.0,9999999.42946
12.56,10575.0,9999999.42957
13.75,10577.0,9999999.42941
14.94,10580.0,9999999.42917
16.0,10582.0,9999999.42912
17.06,10586.0,9999999.42882
18.25,10588.0,9999999.42884
19.44,10591.0,9999999.42845
20.56,10593.0,9999999.42842
21.63,10596.0,9999999.42824
22.75,10598.0,9999999.42801
23.88,10601.0,9999999.42798
25.0,10604.0,9999999.42759
26.19,10606.0,9999999.42747
27.25,10609.0,9999999.42747
28.31,10612.0,9999999.42725
29.38,10614.0,9999999.42725
30.31,10617.0,9999999.42708
31.38,10619.0,9999999.42681
32.5,10621.0,9999999.42666
33.69,10624.0,9999999.42661
34.88,10627.0,9999999.42652
36.13,10631.0,9999999.42629
37.44,10633.0,9999999.42603
38.69,10636.0,9999999.42568
39.75,10639.0,9999999.42564
40.88,10641.0,9999999.4252
42.0,10645.0,9999999.42515
43.19,10647.0,9999999.42488
44.5,10650.0,9999999.42468
45.63,10652.0,9999999.42457
46.63,10655.0,9999999.42447
47.75,10657.0,9999999.42439
48.94,10661.0,9999999.42418
50.13,10663.0,9999999.42378
51.25,10666.0,9999999.42365
52.44,10669.0,9999999.42357
53.56,10672.0,9999999.42325
54.63,10674.0,9999999.42305
55.75,10677.0,9999999.42301
56.75,10680.0,9999999.42265
57.81,10682.0,9999999.42274
58.88,10685.0,9999999.42233
60.0,10687.0,9999999.42236
61.13,10690.0,9999999.42202
62.25,10693.0,9999999.42162
63.31,10695.0,9999999.42154
64.44,10698.0,9999999.42129
65.56,10700.0,9999999.4212
66.63,10703.0,9999999.42092
67.81,10706.0,9999999.42076
68.75,10708.0,9999999.42041
69.69,10711.0,9999999.42027
70.81,10713.0,9999999.42008
71.88,10716.0,9999999.42002
73.0,10718.0,9999999.41976
74.06,10722.0,9999999.41962
75.25,10724.0,9999999.41931
76.38,10726.0,9999999.41901
77.44,10729.0,9999999.41893
78.31,10732.0,9999999.41862
78.88,10733.0,9999999.41845
79.25,10735.0,9999999.41879
79.38,10735.0,9999999.41825
79.5,10736.0,9999999.41838
79.63,10736.0,9999999.41822
79.69,10736.0,9999999.4182
78.19,10733.0,9999999.4197
77.25,10731.0,9999999.41997
76.31,10729.0,9999999.42004
75.25,10727.0,9999999.42019
74.13,10723.0,9999999.42068
73.13,10722.0,9999999.42093
72.0,10719.0,9999999.4212
70.81,10716.0,9999999.42119
69.75,10713.0,9999999.42128
68.56,10711.0,9999999.42143
67.38,10708.0,9999999.42185
66.31,10705.0,9999999.42194
65.06,10702.0,9999999.42245
63.94,10699.0,9999999.42231
62.69,10697.0,9999999.42274
61.56,10693.0,9999999.42276
60.5,10691.0,9999999.42313
59.38,10689.0,9999999.42324
58.25,10686.0,9999999.42346
56.88,10683.0,9999999.42386
55.81,10680.0,9999999.42386
54.75,10678.0,9999999.4241
53.63,10675.0,9999999.42421
